;TEAM;GP;W;L;WIN%;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;+/-
1;;20;16;4;.800;48.3;113.5;42.3;86.0;49.2;11.mar;30.0;37.5;17.jul;22.jan;80.1;10.jan;34.7;44.8;25.ago;11.jun;06.set;04.fev;04.jul;19.mar;21.0;08.mar
;Denver Nuggets;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;11;7;4;.636;48.5;102.5;36.7;84.0;43.7;12.fev;33.9;35.9;16.set;19.jan;88.6;10.0;33.0;43.0;19.jan;12.abr;07.jun;05.mar;05.mai;18.jul;16.0;-1.5
;Philadelphia 76ers;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;23;13;10;.565;48.2;108.3;39.7;86.8;45.8;12.ago;33.7;38.0;16.jan;19.ago;81.3;09.fev;31.0;40.3;23.jun;11.jul;7.0;03.jun;04.jul;20.jan;18.jul;01.mai
;Miami Heat;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;20;11;9;.550;48.3;112.0;40.9;85.5;47.8;14.jan;38.7;36.4;16.fev;20.0;81.0;09.mai;33.6;43.1;24.fev;12.abr;6.0;06.abr;04.jul;17.fev;17.jul;03.abr
;Boston Celtics;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;11;6;5;.545;48.0;100.1;35.3;81.5;43.3;09.mai;32.7;29.2;20.0;26.ago;74.6;12.set;32.5;45.4;18.jul;14.jun;7.0;04.mai;03.ago;19.mai;21.jun;0.4
;New York Knicks;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;11;6;5;.545;48.0;114.2;43.1;86.8;49.6;09.abr;25.ago;36.3;18.jun;23.abr;79.8;09.fev;30.ago;40.0;24.mai;12.jan;06.mar;05.jun;4.0;22.0;20.ago;-2.3
;Phoenix Suns;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;16;8;8;.500;48.3;112.3;41.1;87.1;47.1;10.jan;30.mar;33.5;20.jan;24.ago;80.9;09.jan;35.6;44.6;24.set;11.set;06.ago;06.abr;03.ago;17.abr;21.mar;02.abr
;Los Angeles Lakers;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;13;6;7;.462;48.0;113.1;41.9;93.6;44.8;14.mai;42.5;34.0;14.ago;19.jul;75.0;12.mai;34.5;47.1;28.fev;14.abr;07.fev;04.jun;04.jun;22.set;19.jun;-0.2
;Golden State Warriors;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;7;3;4;.429;48.0;113.7;41.0;95.6;42.9;12.jan;39.7;30.jun;19.jun;25.jul;76.1;14.0;33.7;47.7;22.0;14.jan;07.jul;04.mar;05.jun;22.jun;22.jul;-2.1
;Sacramento Kings;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;6;2;4;.333;48.0;115.8;44.0;96.3;45.7;14.0;37.3;37.5;13.ago;17.0;81.4;12.fev;31.jul;43.8;24.mai;12.ago;07.jul;04.ago;07.fev;16.mar;16.mai;-5.3
;Atlanta Hawks;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;6;2;4;.333;48.8;104.7;38.3;95.3;40.2;12.0;38.5;31.2;16.0;19.fev;83.5;13.fev;33.3;46.5;23.mar;13.0;06.jul;03.mai;09.fev;20.mai;17.mai;-7.5
;Memphis Grizzlies;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;5;1;4;.200;48.0;94.2;35.2;78.4;44.9;10.0;30.jun;32.7;13.ago;18.jun;74.2;09.fev;28.0;37.2;22.0;15.ago;06.ago;4.0;04.jun;20.abr;17.abr;-5.4
;Cleveland Cavaliers;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;5;1;4;.200;48.0;115.6;40.8;88.6;46.0;12.fev;33.8;36.1;21.ago;26.abr;82.6;11.ago;28.fev;40.0;21.jun;14.0;06.jun;04.fev;06.fev;23.0;21.fev;-6.4
;LA Clippers;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;5;1;4;.200;49.0;118.8;44.0;92.6;47.5;15.jun;41.2;37.9;15.fev;21.abr;71.0;10.fev;34.2;44.4;26.ago;14.abr;06.jun;03.jun;03.abr;18.ago;20.abr;-5.2
;Milwaukee Bucks;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;5;1;4;.200;49.0;105.4;37.8;82.6;45.8;11.fev;32.2;34.8;18.jun;24.fev;76.9;08.abr;30.ago;39.2;22.jun;12.ago;06.jun;04.ago;03.abr;21.jun;23.0;-8.8
;Minnesota Timberwolves;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;4;0;4;.000;48.0;92.5;34.0;77.3;44.0;11.mar;34.5;32.6;13.mar;18.mar;72.6;05.ago;29.mar;35.0;22.mar;12.mar;05.mar;03.ago;4.0;15.mai;18.ago;-11.3
;Brooklyn Nets;;;;;;;;;;;;;;;;;;;;;;;;;;
